Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Sri Lanka,LKA,2022,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.45748464
Sri Lanka,LKA,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.45748464
Sri Lanka,LKA,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.45748464
Sri Lanka,LKA,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.44729471
Sri Lanka,LKA,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.44807966
Sri Lanka,LKA,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.59631945
Sri Lanka,LKA,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.43151891
Sri Lanka,LKA,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.26994975
Sri Lanka,LKA,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.69319088
Sri Lanka,LKA,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.69319088
Sri Lanka,LKA,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.69319088
Sri Lanka,LKA,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.53372668
Sri Lanka,LKA,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.77962048
Sri Lanka,LKA,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.62015627
Sri Lanka,LKA,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.38095997
Sri Lanka,LKA,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.11194387
Sri Lanka,LKA,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.90926487
Sri Lanka,LKA,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.02551427
Sri Lanka,LKA,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.83623027
Sri Lanka,LKA,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.79301547
Sri Lanka,LKA,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.56976559
Sri Lanka,LKA,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.49003349
Sri Lanka,LKA,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.47408707
Sri Lanka,LKA,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.39435497
Sri Lanka,LKA,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.13921225
Sri Lanka,LKA,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.12326583
Sri Lanka,LKA,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.10731941
Sri Lanka,LKA,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.09137299
Sri Lanka,LKA,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.04353373
Sri Lanka,LKA,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.99569447
Sri Lanka,LKA,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.37840855
Sri Lanka,LKA,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.34651571
Sri Lanka,LKA,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.29867645
Sri Lanka,LKA,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.31462287
Sri Lanka,LKA,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.26678361
Sri Lanka,LKA,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.21894435
Sri Lanka,LKA,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.09137299
Sri Lanka,LKA,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.91596237
Sri Lanka,LKA,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.85217669
Sri Lanka,LKA,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.80433743
Sri Lanka,LKA,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.61298039
Sri Lanka,LKA,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.45814065
Sri Lanka,LKA,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.45814065
Sri Lanka,LKA,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.61760485
Sri Lanka,LKA,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.37171105
Sri Lanka,LKA,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.79763993
Sri Lanka,LKA,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.20762239
Sri Lanka,LKA,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.61760485
Sri Lanka,LKA,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.58571201
Sri Lanka,LKA,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.49003349
Sri Lanka,LKA,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.39435497
Sri Lanka,LKA,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.29867645
Sri Lanka,LKA,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.20299793
Sri Lanka,LKA,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.12326583
Sri Lanka,LKA,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.01164089
